target_date,location,count
2024-10-13,AK,0
2024-10-14,AK,0
2024-10-15,AK,0
2024-10-16,AK,0
2024-10-17,AK,0
2024-10-18,AK,0
2024-10-19,AK,0
2024-10-20,AK,0
2024-10-21,AK,0
2024-10-22,AK,0
2024-10-23,AK,0
2024-10-24,AK,0
2024-10-25,AK,0
2024-10-26,AK,0
2024-10-27,AK,0
2024-10-28,AK,0
2024-10-29,AK,0
2024-10-30,AK,0
2024-10-31,AK,0
2024-11-01,AK,0
2024-11-02,AK,0
2024-11-03,AK,0
2024-11-04,AK,0
2024-11-05,AK,0
2024-11-06,AK,0
2024-11-07,AK,0
2024-11-08,AK,0
2024-11-09,AK,0
2024-11-10,AK,0
2024-11-11,AK,0
2024-11-12,AK,0
2024-11-13,AK,0
2024-10-13,AL,0
2024-10-14,AL,0
2024-10-15,AL,0
2024-10-16,AL,0
2024-10-17,AL,0
2024-10-18,AL,0
2024-10-19,AL,0
2024-10-20,AL,0
2024-10-21,AL,1
2024-10-22,AL,0
2024-10-23,AL,0
2024-10-24,AL,0
2024-10-25,AL,0
2024-10-26,AL,0
2024-10-27,AL,0
2024-10-28,AL,0
2024-10-29,AL,0
2024-10-30,AL,0
2024-10-31,AL,0
2024-11-01,AL,0
2024-11-02,AL,0
2024-11-03,AL,0
2024-11-04,AL,0
2024-11-05,AL,0
2024-11-06,AL,0
2024-11-07,AL,0
2024-11-08,AL,0
2024-11-09,AL,0
2024-11-10,AL,0
2024-11-11,AL,0
2024-11-12,AL,0
2024-11-13,AL,0
2024-10-13,AR,0
2024-10-14,AR,0
2024-10-15,AR,0
2024-10-16,AR,0
2024-10-17,AR,0
2024-10-18,AR,0
2024-10-19,AR,0
2024-10-20,AR,0
2024-10-21,AR,0
2024-10-22,AR,0
2024-10-23,AR,0
2024-10-24,AR,0
2024-10-25,AR,0
2024-10-26,AR,0
2024-10-27,AR,0
2024-10-28,AR,0
2024-10-29,AR,0
2024-10-30,AR,0
2024-10-31,AR,0
2024-11-01,AR,0
2024-11-02,AR,0
2024-11-03,AR,0
2024-11-04,AR,0
2024-11-05,AR,0
2024-11-06,AR,0
2024-11-07,AR,0
2024-11-08,AR,0
2024-11-09,AR,0
2024-11-10,AR,0
2024-11-11,AR,0
2024-11-12,AR,0
2024-11-13,AR,0
2024-10-13,AZ,3
2024-10-14,AZ,5
2024-10-15,AZ,2
2024-10-16,AZ,2
2024-10-17,AZ,3
2024-10-18,AZ,1
2024-10-19,AZ,3
2024-10-20,AZ,3
2024-10-21,AZ,1
2024-10-22,AZ,3
2024-10-23,AZ,0
2024-10-24,AZ,1
2024-10-25,AZ,2
2024-10-26,AZ,1
2024-10-27,AZ,0
2024-10-28,AZ,0
